Region,Text-to-text pricing,,model,input_price,output_price,Max RPM,Max TPM,Filter for RPM Table (Workload-1),Filter for RPM Table (Workload-2),Filter for RPM Table (Workload-3),Filter for TPM Table (Workload-1),Filter for TPM Table (Workload-2),Filter for TPM Table (Workload-3),,
us-east-1,Claude v2.x,us-east-1|Claude v2.x,anthropic.claude-v2:1,8.000000,24.000000,500," 500,000 ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
us-east-1,Claude v2.x,us-east-1|Claude v2.x,anthropic.claude-v2,8.000000,24.000000,500," 500,000 ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
us-east-1,Claude Instant v1.x,us-east-1|Claude Instant v1.x,anthropic.claude-instant-v1,0.800000,2.400000,1000," 1,000,000 ",,,,,,,,
us-east-1,Claude 3 Haiku,us-east-1|Claude 3 Haiku,anthropic.claude-3-haiku-20240307-v1:0,0.250000,1.250000,1000," 2,000,000 ",,,,,,,,
us-east-1,Claude 3 Sonnet,us-east-1|Claude 3 Sonnet,anthropic.claude-3-sonnet-20240229-v1:0,3.000000,15.000000,500," 1,000,000 ",,,,,,,,
us-east-1,Claude 3.5 Sonnet,us-east-1|Claude 3.5 Sonnet,anthropic.claude-3-5-sonnet-20240620-v1:0,3.000000,15.000000,50," 400,000 ",,,,,,,,
us-east-1,Titan Text Premier,us-east-1|Titan Text Premier,amazon.titan-text-premier-v1:0,0.500000,1.500000,100," 300,000 ",,,,,,,,
us-east-1,Titan Text Express,us-east-1|Titan Text Express,amazon.titan-text-express-v1,0.200000,0.600000,400," 300,000 ",,,,,,,,
us-east-1,Titan Text Lite,us-east-1|Titan Text Lite,amazon.titan-text-lite-v1,0.150000,0.200000,800," 300,000 ",,,,,,,,
us-east-1,,,amazon.titan-embed-text-v1,0.000100,,,,,,,,,,,
us-east-1,,,amazon.titan-embed-text-v2:0,0.000020,,,,,,,,,,,
us-east-1,,,cohere.embed-english-v3,0.000100,,,,,,,,,,,
us-east-1,,,cohere.embed-multilingual-v3,0.000100,,,,,,,,,,,
us-east-1,Cohere Command Light,us-east-1|Cohere Command Light,cohere.command-light-text-v14,0.300000,0.600000,800," 300,000 ",,,,,,,,
us-east-1,Cohere Command,us-east-1|Cohere Command,cohere.command-text-v14,1.500000,2.000000,400," 300,000 ",,,,,,,,
us-east-1,Cohere Command R,us-east-1|Cohere Command R,cohere.command-r-v1:0,0.500000,1.500000,400," 300,000 ",,,,,,,,
us-east-1,Cohere Command R+,us-east-1|Cohere Command R+,cohere.command-r-plus-v1:0,3.000000,15.000000,400," 300,000 ",,,,,,,,
us-east-1,AI21 J2-Mid,us-east-1|AI21 J2-Mid,ai21.j2-mid-v1,12.500000,12.500000,400," 300,000 ",,,,,,,,
us-east-1,AI21 J2-Ultra,us-east-1|AI21 J2-Ultra,ai21.j2-ultra-v1,18.800000,18.800000,100," 200,000 ",,,,,,,,
us-east-1,AI21 Jamba 1.5 Large,us-east-1|AI21 Jamba 1.5 Large,ai21.jamba-1-5-large-v1:0,2.000000,8.000000,100," 300,000 ",,,,,,,,
us-east-1,AI21 Jamba 1.5 Mini,us-east-1|AI21 Jamba 1.5 Mini,ai21.jamba-1-5-mini-v1:0,0.200000,0.400000,100," 300,000 ",,,,,,,,
us-east-1,AI21 Jamba-Instruct,us-east-1|AI21 Jamba-Instruct,ai21.jamba-instruct-v1:0,0.500000,0.700000,100," 300,000 ",,,,,,,,
us-east-1,Llama 2 Chat 13B,us-east-1|Llama 2 Chat 13B,,0.750000,1.000000,800," 300,000 ",,,,,,,,
us-east-1,Llama 2 Chat 70B,us-east-1|Llama 2 Chat 70B,,1.950000,2.560000,400," 300,000 ",,,,,,,,
us-east-1,Llama 3 8B Instruct,us-east-1|Llama 3 8B Instruct,meta.llama3-8b-instruct-v1:0,0.300000,0.600000,800," 300,000 ",,,,,,,,
us-east-1,Llama 3 70B Instruct,us-east-1|Llama 3 70B Instruct,meta.llama3-70b-instruct-v1:0,2.650000,3.500000,800," 300,000 ",,,,,,,,
us-east-1,Llama 3.2 1B Instruct,us-east-1|Llama 3.2 1B Instruct,meta.llama3-2-1b-instruct-v1:0,0.100000,0.100000,800," 300,000 ",,,,,,,CRIS-only,
us-east-1,Llama 3.2 3B Instruct,us-east-1|Llama 3.2 3B Instruct,meta.llama3-2-3b-instruct-v1:0,0.150000,0.150000,800," 300,000 ",,,,,,,CRIS-only,
us-east-1,Llama 3.2 11B Instruct,us-east-1|Llama 3.2 11B Instruct,meta.llama3-2-11b-instruct-v1:0,0.350000,0.350000,400," 300,000 ",,,,,,,CRIS-only,
us-east-1,Llama 3.2 90B Instruct,us-east-1|Llama 3.2 90B Instruct,meta.llama3-2-90b-instruct-v1:0,2.000000,2.000000,400," 300,000 ",,,,,,,CRIS-only,
us-east-1,Mistral 7B Instruct,us-east-1|Mistral 7B Instruct,mistral.mistral-7b-instruct-v0:2,0.150000,0.200000,800," 300,000 ",,,,,,,,
us-east-1,Mixtral 8X7B Instruct,us-east-1|Mixtral 8X7B Instruct,mistral.mixtral-8x7b-instruct-v0:1,0.450000,0.700000,400," 300,000 ",,,,,,,,
us-east-1,Mistral Small,us-east-1|Mistral Small,mistral.mistral-small-2402-v1:0,1.000000,3.000000,400," 300,000 ",,,,,,,,
us-east-1,Mistral Large,us-east-1|Mistral Large,mistral.mistral-large-2402-v1:0,4.000000,12.000000,400," 300,000 ",,,,,,,,
us-west-2,Claude v2.x,us-west-2|Claude v2.x,anthropic.claude-v2:1,8.000000,24.000000,24, 500 ,,,,,,,,
us-west-2,Claude v2.x,us-west-2|Claude v2.x,anthropic.claude-v2,8.000000,24.000000,24, 500 ,,,,,,,,
us-west-2,Claude Instant v1.x,us-west-2|Claude Instant v1.x,anthropic.claude-instant-v1,0.800000,2.400000,2.4," 1,000 ",,,,,,,,
us-west-2,Claude 3 Haiku,us-west-2|Claude 3 Haiku,anthropic.claude-3-haiku-20240307-v1:0,0.250000,1.250000,1.25," 1,000 ",Filter for Batch Jobs (Workload-1),Filter for Batch Jobs (Workload-2),Filter for Batch Jobs (Workload-3),"Filter for ""Use Case - RAG""",,,,
us-west-2,Claude 3 Sonnet,us-west-2|Claude 3 Sonnet,anthropic.claude-3-sonnet-20240229-v1:0,3.000000,15.000000,15, 500 ,,,,,,,,
us-west-2,Claude 3.5 Sonnet,us-west-2|Claude 3.5 Sonnet,anthropic.claude-3-5-sonnet-20240620-v1:0,3.000000,15.000000,250," 2,000,000 ",,,,,,,,
us-west-2,Claude 3 Opus,us-west-2|Claude 3 Opus,anthropic.claude-3-opus-20240229-v1:0,15.000000,75.000000,50," 400,000 ",#REF!,#REF!,#REF!,#REF!,,,,
us-west-2,Titan Text Express,us-west-2|Titan Text Express,amazon.titan-text-express-v1,0.200000,0.600000,0.6, 400 ,,,,,,,,
us-west-2,Titan Text Lite,us-west-2|Titan Text Lite,amazon.titan-text-lite-v1,0.150000,0.200000,0.2, 800 ,,,,,,,,
us-west-2,,,amazon.titan-embed-text-v1,0.000100,,,,,,,,,,,
us-west-2,,,amazon.titan-embed-text-v2:0,0.000020,,,,,,,,,,,
us-west-2,,,cohere.embed-english-v3,0.000100,,,,,,,,,,,
us-west-2,,,cohere.embed-multilingual-v3,0.000100,,,,,,,,,,,
us-west-2,Cohere Command Light,us-west-2|Cohere Command Light,cohere.command-light-text-v14,0.300000,0.600000,0.6, 800 ,,,,,,,,
us-west-2,Cohere Command,us-west-2|Cohere Command,cohere.command-text-v14,1.500000,2.000000,2, 400 ,,,,,,,,
us-west-2,Cohere Command R,us-west-2|Cohere Command R,cohere.command-r-v1:0,0.500000,1.500000,1.5, 400 ,,,,,,,,
us-west-2,Cohere Command R+,us-west-2|Cohere Command R+,cohere.command-r-plus-v1:0,3.000000,15.000000,15, 400 ,,,,,,,,
us-west-2,AI21 J2-Mid,us-west-2|AI21 J2-Mid,ai21.j2-mid-v1,12.500000,12.500000,12.5, 400 ,,,,,,,,
us-west-2,AI21 J2-Ultra,us-west-2|AI21 J2-Ultra,ai21.j2-ultra-v1,18.800000,18.800000,18.8, 100 ,,,,,,,,
us-west-2,Llama 2 Chat 13B,us-west-2|Llama 2 Chat 13B,,0.750000,1.000000,1, 800 ,,,,,,,,
us-west-2,Llama 2 Chat 70B,us-west-2|Llama 2 Chat 70B,,1.950000,2.560000,2.56, 400 ,,,,,,,,
us-west-2,Llama 3 8B Instruct,us-west-2|Llama 3 8B Instruct,meta.llama3-8b-instruct-v1:0,0.400000,0.600000,0.6, 800 ,,,,,,,,
us-west-2,Llama 3 70B Instruct,us-west-2|Llama 3 70B Instruct,meta.llama3-70b-instruct-v1:0,2.650000,3.500000,3.5, 800 ,,,,,,,,
